id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
954451999132354635,Apartment with panoramic view,214563267,Aleksandra,Kreis 6,Unterstrass,47.38730958121015,8.536382682048643,Entire home/apt,1200,5,2,2023-11-04,0.20,1,150,2,
954826451469891268,"Wunderschöne Wohnung, beste Lage",531009323,Christophe,Kreis 8,Seefeld,47.36024099999999,8.5492265,Entire home/apt,210,5,4,2023-10-28,0.37,1,316,4,
954829028338762829,Executive 2BR Centrally Located,3528377,Marc,Kreis 4,Hard,47.384715732674955,8.508728461098825,Entire home/apt,252,2,29,2024-06-14,2.77,12,76,29,
954986534483841675,Experience 1-BR Urban Chic in Zurich,1229459,Swissstay,Kreis 7,Hottingen,47.36799164197337,8.55656927996888,Entire home/apt,124,2,2,2024-05-17,0.21,80,24,2,
955584255722857086,Contemporary Elegance in the Heart of Zurich,1229459,Swissstay,Kreis 7,Hottingen,47.368699807424186,8.556435235035218,Entire home/apt,225,2,12,2024-06-01,1.17,80,22,12,
955784712671658608,Zurich City Apartment - Wollishofen,177523078,Markus,Kreis 2,Wollishofen,47.33629703512925,8.531129185108535,Entire home/apt,,4,30,2024-06-29,3.26,1,2,30,
956843160368623367,Erstbezug Luxusausstattung mit Boxspringbett,233609102,Business,Kreis 11,Seebach,47.41423,8.55372,Entire home/apt,97,5,0,,,1,188,0,
957657984159361987,Beautiful flat near Idaplatz.,5861364,Aleksandra,Kreis 3,Sihlfeld,47.3725,8.50885,Entire home/apt,,5,3,2023-12-31,0.31,1,0,3,
957758254263801200,Discover Zurich's Best: Ideal Apartment,1229459,Swissstay,Kreis 7,Hottingen,47.36828431184114,8.556789218276052,Entire home/apt,159,2,3,2024-02-02,0.30,80,31,3,
957816696128235556,"Long-term subrent 2,5 bd flat, central-2200chf/m",122642208,Dia,Kreis 5,Gewerbeschule,47.38182413073555,8.533488549292088,Entire home/apt,75,14,0,,,1,263,0,
957896948829174946,Spacious Apartment in Zurich's Heart,1229459,Swissstay,Kreis 7,Hottingen,47.368255957781216,8.554823696819488,Entire home/apt,197,2,8,2024-06-10,0.84,80,19,8,
958543734592098388,Zurich City Life: Your Apartment Awaits!,1229459,Swissstay,Kreis 7,Hottingen,47.36986,8.55507,Entire home/apt,183,2,12,2024-06-21,1.34,80,18,12,
959225016736457620,RELOC Classic Grand Studio,46465899,"RELOC Serviced Apartments, Zurich",Kreis 11,Seebach,47.414579811701124,8.545789108449833,Entire home/apt,130,7,0,,,12,261,0,
959238223943170947,Cozy apartment in oldtown Zurich5,97637352,Angela,Kreis 1,Rathaus,47.368154,8.5454923,Entire home/apt,340,1,59,2024-06-18,5.71,2,107,59,
959239097381194889,Modern Design Rooftop Apartment,9814331,Sara,Kreis 4,Langstrasse,47.375126382533665,8.528924053552887,Entire home/apt,230,3,13,2024-06-17,1.43,1,10,13,
959265688025696515,RELOC Cozy Studio,46465899,"RELOC Serviced Apartments, Zurich",Kreis 11,Seebach,47.41587719657746,8.54448977019471,Entire home/apt,130,7,0,,,12,237,0,
959323692029714532,Zimmer in Zürich Oerlikon,70707568,Madeleine,Kreis 11,Seebach,47.4147202,8.5424847,Private room,64,1,20,2024-06-22,1.95,2,227,20,
959412686105659157,Zimmer zum Hinterhofgarten,532224668,Severin Christian,Kreis 4,Werd,47.3738125,8.5259129,Private room,149,1,3,2023-09-20,0.31,1,87,3,
959868847871773494,Townhouse with garden and parking,3528377,Marc,Kreis 9,Altstetten,47.38084221582569,8.499894032688612,Entire home/apt,269,2,0,,,12,60,0,
960535241086478575,Nice room in Zurich Affoltern!,157238681,Guillermo,Kreis 11,Affoltern,47.4207529,8.5067734,Private room,110,1,0,,,1,84,0,
960588291607199649,Zentrales Schlafzimmer,367765012,Nadia,Kreis 9,Altstetten,47.3862395334645,8.495724907789766,Private room,84,1,0,,,1,172,0,
960882104773669135,"Luxury 2 Bedrooms, Stunning View, 10 Min to Center",29486943,Giuseppe,Kreis 2,Wollishofen,47.3394827,8.5177101,Entire home/apt,250,4,0,,,1,167,0,
961533976447324358,Cozy quiet room in Penthouse,43111694,Susanna,Kreis 7,Witikon,47.35846392143428,8.599819393442942,Private room,56,6,1,2023-11-02,0.12,17,107,1,
962842085546555219,Lovely flat near the river,12943781,Katrin,Kreis 5,Escher Wyss,47.390117584093666,8.521337751149101,Entire home/apt,,3,3,2024-05-12,0.31,2,0,3,
963113252638375359,Entire Flat in Central Zurich,9482450,Lindsay,Kreis 3,Alt-Wiedikon,47.36926921977123,8.513535822669667,Entire home/apt,134,1,2,2024-01-02,0.20,2,20,2,
963367040792322407,Apartamento Entero hasta 2 personas,26598829,Mayerlin,Kreis 12,Hirzenbach,47.401640506007205,8.589359633624554,Entire home/apt,83,2,2,2024-05-26,1.25,1,5,2,
963862868453454381,Modern design in Zürich city,3986407,Oliver,Kreis 6,Oberstrass,47.37941832942073,8.549587332199097,Entire home/apt,,7,0,,,1,0,0,
